"oa_source_id","prop_np_mean","prop_np_sd","prop_fp_mean","prop_fp_sd","prop_np_found_mean","prop_np_found_sd","prop_fp_found_mean","prop_fp_found_sd","prop_nadafnee_mean","prop_nadafnee_sd","oa_source_name","journal","publisher_type","business_model","institution_type"
"https://openalex.org/S158789388",0.1594,0.1097,0.1307,0.0862,0.5109,0.2636,0.4422,0.2573,0.7099,0.132,"Journal of Hymenoptera Research","Journal of Hymenoptera Research","fp","OA","Society"
"https://openalex.org/S159699259",0.188,0.106,0.1721,0.0731,0.5122,0.1581,0.4878,0.1581,0.6398,0.1216,"Botanical Journal of the Linnean Society","Botanical Journal of the Linnean Society","np","hybrid","Society"
"https://openalex.org/S160223955",0.1832,0.1147,0.0376,0.0585,0.8818,0.181,0.1182,0.181,0.7792,0.1497,"Cold Spring Harbor Perspectives in Biology","Cold Spring Harbor Perspectives in Biology","np","subscription","Non-profit"
"https://openalex.org/S163259234",0.2351,0.1488,0.0305,0.0528,0.8481,0.2502,0.111,0.1795,0.7344,0.1489,"Acarologia","Acarologia","np","diamond_OA","Uni/Gov"
"https://openalex.org/S163860444",0.1382,0.0982,0.2628,0.2402,0.3994,0.2526,0.6006,0.2526,0.5991,0.2189,"Taxon","Taxon","fp","hybrid","Society"
"https://openalex.org/S164789166",0.107,0.0687,0.2133,0.1106,0.3472,0.1939,0.6528,0.1939,0.6797,0.1233,"Journal of Phycology","Journal of Phycology","fp","hybrid","Society"
"https://openalex.org/S165027284",0.1434,0.0907,0.1355,0.089,0.5105,0.263,0.4728,0.2618,0.7211,0.1373,"Acta Botanica Brasilica","Acta Botanica Brasilica","np","OA","Society"
"https://openalex.org/S165569574",0.2441,0.1394,0.2096,0.1282,0.5512,0.2228,0.4488,0.2228,0.5463,0.15,"Journal of Mammalogy","Journal of Mammalogy","np","hybrid","Society"
"https://openalex.org/S166870025",0.1262,0.06,0.3082,0.1204,0.3007,0.1392,0.6993,0.1392,0.5656,0.1318,"Ecological Applications","Ecological Applications","fp","hybrid","Society"
"https://openalex.org/S170105747",0.1097,0.0937,0.1443,0.157,0.4501,0.2298,0.5499,0.2298,0.7461,0.1983,"Hormones and Behavior","Hormones and Behavior","fp","hybrid","Society"
"https://openalex.org/S17068196",0.1639,0.0799,0.2942,0.122,0.3641,0.1617,0.6359,0.1617,0.5419,0.1324,"Biotropica","Biotropica","fp","hybrid","Society"
"https://openalex.org/S171033905",0.0519,0.0566,0.0413,0.0406,0.4761,0.3788,0.4412,0.3749,0.9068,0.068,"Letters in Applied Microbiology","Letters in Applied Microbiology","fp","hybrid","Society"
"https://openalex.org/S171282171",0.1011,0.0576,0.1553,0.0879,0.4103,0.195,0.5833,0.1978,0.7436,0.1072,"FEMS Microbiology Ecology","FEMS Microbiology Ecology","fp","hybrid","Society"
"https://openalex.org/S173817438",0.1633,0.1359,0.1845,0.1401,0.4002,0.3872,0.5998,0.3872,0.6522,0.2109,"Cryptogamie Mycologie","Cryptogamie Mycologie","np","diamond_OA","Museum"
"https://openalex.org/S17425584",0.0543,0.0416,0.1011,0.088,0.399,0.2843,0.576,0.2921,0.8447,0.0992,"Agronomy for Sustainable Development","Agronomy for Sustainable Development","fp","hybrid","Uni/Gov"
"https://openalex.org/S174303711",0.1747,0.1005,0.3029,0.1256,0.3662,0.1803,0.6338,0.1803,0.5224,0.1403,"Functional Ecology","Functional Ecology","fp","hybrid","Society"
"https://openalex.org/S175034139",0.1568,0.0689,0.34,0.1393,0.3396,0.175,0.6604,0.175,0.5033,0.1315,"Wildlife Biology","Wildlife Biology","fp","OA","Society"
"https://openalex.org/S175935889",0.1773,0.0746,0.2512,0.1,0.4153,0.1607,0.5847,0.1607,0.5714,0.1317,"Mammal Review","Mammal Review","fp","hybrid","Society"
"https://openalex.org/S177710124",0.2706,0.2001,0.081,0.1023,0.7256,0.3345,0.229,0.2979,0.6484,0.2012,"The Coleopterists Bulletin","Coleopterists Bulletin","np","subscription","Society"
"https://openalex.org/S178451187",0.1019,0.0848,0.1901,0.1445,0.3643,0.2852,0.5979,0.3004,0.708,0.162,"Nordic Journal of Botany","Nordic Journal of Botany","fp","hybrid","Society"
